7.65;7.5
9.3;8.3
6.95;7.6
4.95;4.2
3.95;7.3
3.1;6.1
4.75;6.7
3.65;7.2
7.95;6
10.15;4.9
10.7;5.8
10.6;4.1
11.25;2.8
9.45;0.7
7.9;3.4
6.5;6.2
3.8;5.1
2.4;2.8
7.95;3.3
7.4;7.5
6.8;7
5.95;6.5
8.35;4.4
10.6;6.7
5.15;5.8
4;3.3
3.7;7.2
1.25;7.2
1.35;7.3
0.5;6.9
5.35;5.9
5.85;7.2
7;6.4
9.5;6.6
11.05;7.3
7.2;4.4
8.85;5.7
11.1;7.4
5.5;6.9
3.2;7.7
4.4;7.4
7.25;7.6
4.3;6.3
0.9;7.4
-0.6;2.1
2.05;0.7
-2;6.7
-8.25;6.7
0.2;1.3
1.75;1.2
-3.95;3.7
-4.4;6.1
-4.35;6.8
-2.6;7.2
-0.75;7.7
0.45;6.4
0.55;4
-0.15;7.7
-1.05;8.6
1.45;8.9
1.35;6.1
7.25;6.1
4.7;5.9
5.75;5.3
4.35;5.5
3.7;5.6
3.15;9
4.45;9.9
4.6;2
9.6;1
8.3;3.1
7.3;8.2
6.3;11
10.4;10.7
12.95;11.2
9.85;9.9
12.95;3
10.7;4.9
8.2;1.4
7.9;11.5
9.35;10.6
7.65;10.2
5.55;12.6
3.5;12.2
2.9;11.6
1.25;10.1
0.1;3.4
1.55;4.9
0.7;3.5
4.65;13.2
5;11.1
7.55;7.5
11.1;8.4
10.05;6.2
11.55;12.4
14.75;13.9
13.85;4.7
7.15;12.5
5.55;13.3
7;15.8
5.35;11.7
4.4;5.7
6.95;2.1
6.65;3.1
7.85;13.2
6.1;7.6
8;8.4
7.8;7.2
4.5;13.6
6.55;17.2
6.9;17
6.9;16.9
6.4;16.9
7.3;14.6
5.9;16.1
3.55;6.9
7.05;19.8
8.5;19.7
10.55;17.4
11.5;7.7
11.4;10.5
9.1;9.4
12.45;5.1
7.4;17.8
6.35;21.8
7.3;21.8
8.3;21.1
8.65;11.7
11.45;0.8
11.4;16.4
12.3;8.5
13;20.7
13.05;8.7
12.95;1.6
12.3;2.2
11.9;21.2
12.4;23.8
12;20.8
9.85;24.2
10.95;23.7
12.3;23.1
12.5;22.4
12.85;23.1
13.25;22.5
16.15;17.2
14.5;9.8
15;25.4
14.9;23.4
13.45;24.8
13.2;20.6
14.55;16.8
15.2;24
17.35;24.8
15.6;14.6
15.05;17.2
17.25;21.6
14.7;25.1
15.5;24.8
12.75;15.3
8.3;19.8
10.6;24.1
11.85;26.7
12.5;27.3
16.05;26.9
15.3;26.3
14.85;20
17.05;25.2
15.6;21.1
14.1;24.5
13.65;27.8
11.95;18.1
12.7;26.4
10.65;5.1
13.15;10.6
14.4;18.3
13.85;20.3
13.05;28.8
13.2;29.3
13.9;24.1
16.25;25.7
18.3;27.6
17.1;23.5
18.55;24
18.85;25.6
18.5;20.9
19.15;29.3
21.1;27.1
19.5;27.4
21.2;28.6
17.6;14.1
19.6;18.3
19.85;27.9
19.7;27.4
19.65;9.7
17.6;25.2
17.05;24.4
16.2;22.6
19.9;25.7
20.6;27.9
20.55;20.1
21.9;25.6
19;22.1
15.2;26.3
14.75;27.9
16.55;29.6
17.05;12.4
17.5;28.2
18.6;29.8
20.1;30.2
21.75;29.4
22.4;29.4
22.35;29.6
23.5;7.4
18.45;30.1
24.45;28.9
23.45;28.1
24.6;27
25.35;22.6
27.3;24.3
26.15;27.2
25.85;27.5
27;24.4
26.65;17
23.9;11.1
23.4;19.2
23.15;28.7
24.25;26.9
24.05;24.6
23.75;27.5
23.75;26.8
23.1;23.4
22.3;9.8
